,index,name,x_coord,y_midpoint,orig_length,masked_length,p10_masked
0,0,scan_v1_seg_1,0.44893718435447005,-9.054578429580262,1.0,0.0015686225007183197,0.0
1,1,scan_v1_seg_2,0.44893718435447005,-8.054578429580262,1.0,0.0,
2,2,scan_v1_seg_3,0.44893718435447005,-7.054578429580262,1.0,0.0,
3,3,scan_v1_seg_4,0.44893718435447005,-6.054578429580262,1.0,0.7586080522455712,0.0
4,4,scan_v1_seg_5,0.44893718435447005,-5.054578429580262,1.0,1.0,0.0
5,5,scan_v1_seg_6,0.44893718435447005,-4.054578429580262,1.0,1.0,0.0
6,6,scan_v1_seg_7,0.44893718435447005,-3.0545784295802623,1.0,1.0,1.0
7,0,scan_v2_seg_1,0.94893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
8,1,scan_v2_seg_2,0.94893718435447,-8.054578429580262,1.0,0.0,
9,2,scan_v2_seg_3,0.94893718435447,-7.054578429580262,1.0,0.0,
10,3,scan_v2_seg_4,0.94893718435447,-6.054578429580262,1.0,0.735461833134786,1.3596898641737305
11,4,scan_v2_seg_5,0.94893718435447,-5.054578429580262,1.0,1.0,0.0
12,5,scan_v2_seg_6,0.94893718435447,-4.054578429580262,1.0,1.0,0.0
13,6,scan_v2_seg_7,0.94893718435447,-3.0545784295802623,1.0,1.0,1.0
14,0,scan_v3_seg_1,1.44893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
15,1,scan_v3_seg_2,1.44893718435447,-8.054578429580262,1.0,0.0,
16,2,scan_v3_seg_3,1.44893718435447,-7.054578429580262,1.0,0.1622886106126451,0.0
17,3,scan_v3_seg_4,1.44893718435447,-6.054578429580262,1.0,1.0,0.0
18,4,scan_v3_seg_5,1.44893718435447,-5.054578429580262,1.0,1.0,0.0
19,5,scan_v3_seg_6,1.44893718435447,-4.054578429580262,1.0,1.0,0.0
20,6,scan_v3_seg_7,1.44893718435447,-3.0545784295802623,1.0,1.0,1.0
21,0,scan_v4_seg_1,1.94893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
22,1,scan_v4_seg_2,1.94893718435447,-8.054578429580262,1.0,0.0,
23,2,scan_v4_seg_3,1.94893718435447,-7.054578429580262,1.0,0.1664654426542871,0.0
24,3,scan_v4_seg_4,1.94893718435447,-6.054578429580262,1.0,1.0,1.0
25,4,scan_v4_seg_5,1.94893718435447,-5.054578429580262,1.0,1.0,0.0
26,5,scan_v4_seg_6,1.94893718435447,-4.054578429580262,1.0,1.0,1.0
27,6,scan_v4_seg_7,1.94893718435447,-3.0545784295802623,1.0,1.0,0.0
28,0,scan_v5_seg_1,2.4489371843544703,-9.054578429580262,1.0,0.0015686225007183197,0.0
29,1,scan_v5_seg_2,2.4489371843544703,-8.054578429580262,1.0,0.0,
30,2,scan_v5_seg_3,2.4489371843544703,-7.054578429580262,1.0,0.2731230634920063,0.0
31,3,scan_v5_seg_4,2.4489371843544703,-6.054578429580262,1.0,1.0,0.0
32,4,scan_v5_seg_5,2.4489371843544703,-5.054578429580262,1.0,1.0,2.0
33,5,scan_v5_seg_6,2.4489371843544703,-4.054578429580262,1.0,1.0,0.0
34,6,scan_v5_seg_7,2.4489371843544703,-3.0545784295802623,1.0,1.0,3.0
35,0,scan_v6_seg_1,2.9489371843544703,-9.054578429580262,1.0,0.0015686225007183197,0.0
36,1,scan_v6_seg_2,2.9489371843544703,-8.054578429580262,1.0,0.0,
37,2,scan_v6_seg_3,2.9489371843544703,-7.054578429580262,1.0,0.3101270270098633,0.0
38,3,scan_v6_seg_4,2.9489371843544703,-6.054578429580262,1.0,1.0,1.0
39,4,scan_v6_seg_5,2.9489371843544703,-5.054578429580262,1.0,1.0,1.0
40,5,scan_v6_seg_6,2.9489371843544703,-4.054578429580262,1.0,1.0,1.0
41,6,scan_v6_seg_7,2.9489371843544703,-3.0545784295802623,1.0,1.0,0.0
42,0,scan_v7_seg_1,3.4489371843544703,-9.054578429580262,1.0,0.0015686225007183197,0.0
43,1,scan_v7_seg_2,3.4489371843544703,-8.054578429580262,1.0,0.0,
44,2,scan_v7_seg_3,3.4489371843544703,-7.054578429580262,1.0,0.253273769318497,0.0
45,3,scan_v7_seg_4,3.4489371843544703,-6.054578429580262,1.0,1.0,0.0
46,4,scan_v7_seg_5,3.4489371843544703,-5.054578429580262,1.0,1.0,1.0
47,5,scan_v7_seg_6,3.4489371843544703,-4.054578429580262,1.0,1.0,1.0
48,6,scan_v7_seg_7,3.4489371843544703,-3.0545784295802623,1.0,1.0,0.0
49,0,scan_v8_seg_1,3.9489371843544703,-9.054578429580262,1.0,0.0015686225007183197,0.0
50,1,scan_v8_seg_2,3.9489371843544703,-8.054578429580262,1.0,0.0,
51,2,scan_v8_seg_3,3.9489371843544703,-7.054578429580262,1.0,0.36239443182886966,0.0
52,3,scan_v8_seg_4,3.9489371843544703,-6.054578429580262,1.0,1.0,0.0
53,4,scan_v8_seg_5,3.9489371843544703,-5.054578429580262,1.0,1.0,2.0
54,5,scan_v8_seg_6,3.9489371843544703,-4.054578429580262,1.0,1.0,0.0
55,6,scan_v8_seg_7,3.9489371843544703,-3.0545784295802623,1.0,1.0,0.0
56,0,scan_v9_seg_1,4.44893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
57,1,scan_v9_seg_2,4.44893718435447,-8.054578429580262,1.0,0.0,
58,2,scan_v9_seg_3,4.44893718435447,-7.054578429580262,1.0,0.3842174577712978,0.0
59,3,scan_v9_seg_4,4.44893718435447,-6.054578429580262,1.0,1.0,0.0
60,4,scan_v9_seg_5,4.44893718435447,-5.054578429580262,1.0,1.0,2.0
61,5,scan_v9_seg_6,4.44893718435447,-4.054578429580262,1.0,1.0,0.0
62,6,scan_v9_seg_7,4.44893718435447,-3.0545784295802623,1.0,1.0,0.0
63,0,scan_v10_seg_1,4.94893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
64,1,scan_v10_seg_2,4.94893718435447,-8.054578429580262,1.0,0.0,
65,2,scan_v10_seg_3,4.94893718435447,-7.054578429580262,1.0,0.14027461451176304,0.0
66,3,scan_v10_seg_4,4.94893718435447,-6.054578429580262,1.0,1.0,1.0
67,4,scan_v10_seg_5,4.94893718435447,-5.054578429580262,1.0,1.0,0.0
68,5,scan_v10_seg_6,4.94893718435447,-4.054578429580262,1.0,1.0,0.0
69,6,scan_v10_seg_7,4.94893718435447,-3.0545784295802623,1.0,1.0,1.0
70,0,scan_v11_seg_1,5.44893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
71,1,scan_v11_seg_2,5.44893718435447,-8.054578429580262,1.0,0.0,
72,2,scan_v11_seg_3,5.44893718435447,-7.054578429580262,1.0,0.500940496642353,0.0
73,3,scan_v11_seg_4,5.44893718435447,-6.054578429580262,1.0,1.0,0.0
74,4,scan_v11_seg_5,5.44893718435447,-5.054578429580262,1.0,1.0,0.0
75,5,scan_v11_seg_6,5.44893718435447,-4.054578429580262,1.0,1.0,0.0
76,6,scan_v11_seg_7,5.44893718435447,-3.0545784295802623,1.0,1.0,2.0
77,0,scan_v12_seg_1,5.94893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
78,1,scan_v12_seg_2,5.94893718435447,-8.054578429580262,1.0,0.0,
79,2,scan_v12_seg_3,5.94893718435447,-7.054578429580262,1.0,0.35760574918746,2.7963756239159103
80,3,scan_v12_seg_4,5.94893718435447,-6.054578429580262,1.0,1.0,0.0
81,4,scan_v12_seg_5,5.94893718435447,-5.054578429580262,1.0,1.0,0.0
82,5,scan_v12_seg_6,5.94893718435447,-4.054578429580262,1.0,1.0,0.0
83,6,scan_v12_seg_7,5.94893718435447,-3.0545784295802623,1.0,0.4594852499514763,0.0
84,0,scan_v13_seg_1,6.44893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
85,1,scan_v13_seg_2,6.44893718435447,-8.054578429580262,1.0,0.0,
86,2,scan_v13_seg_3,6.44893718435447,-7.054578429580262,1.0,0.2955729302831598,0.0
87,3,scan_v13_seg_4,6.44893718435447,-6.054578429580262,1.0,1.0,0.0
88,4,scan_v13_seg_5,6.44893718435447,-5.054578429580262,1.0,1.0,0.0
89,5,scan_v13_seg_6,6.44893718435447,-4.054578429580262,1.0,1.0,1.0
90,6,scan_v13_seg_7,6.44893718435447,-3.0545784295802623,1.0,1.0,0.0
91,0,scan_v14_seg_1,6.94893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
92,1,scan_v14_seg_2,6.94893718435447,-8.054578429580262,1.0,0.0,
93,2,scan_v14_seg_3,6.94893718435447,-7.054578429580262,1.0,0.5004920100645371,1.9980338944293088
94,3,scan_v14_seg_4,6.94893718435447,-6.054578429580262,1.0,1.0,0.0
95,4,scan_v14_seg_5,6.94893718435447,-5.054578429580262,1.0,1.0,0.0
96,5,scan_v14_seg_6,6.94893718435447,-4.054578429580262,1.0,1.0,0.0
97,6,scan_v14_seg_7,6.94893718435447,-3.0545784295802623,1.0,1.0,1.0
98,0,scan_v15_seg_1,7.44893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
99,1,scan_v15_seg_2,7.44893718435447,-8.054578429580262,1.0,0.0,
100,2,scan_v15_seg_3,7.44893718435447,-7.054578429580262,1.0,0.7096415427148148,1.4091621470952584
101,3,scan_v15_seg_4,7.44893718435447,-6.054578429580262,1.0,1.0,0.0
102,4,scan_v15_seg_5,7.44893718435447,-5.054578429580262,1.0,1.0,1.0
103,5,scan_v15_seg_6,7.44893718435447,-4.054578429580262,1.0,1.0,1.0
104,6,scan_v15_seg_7,7.44893718435447,-3.0545784295802623,1.0,1.0,2.0
105,0,scan_v16_seg_1,7.94893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
106,1,scan_v16_seg_2,7.94893718435447,-8.054578429580262,1.0,0.0,
107,2,scan_v16_seg_3,7.94893718435447,-7.054578429580262,1.0,0.7230981053828183,0.0
108,3,scan_v16_seg_4,7.94893718435447,-6.054578429580262,1.0,1.0,0.0
109,4,scan_v16_seg_5,7.94893718435447,-5.054578429580262,1.0,1.0,1.0
110,5,scan_v16_seg_6,7.94893718435447,-4.054578429580262,1.0,1.0,1.0
111,6,scan_v16_seg_7,7.94893718435447,-3.0545784295802623,1.0,1.0,0.0
112,0,scan_v17_seg_1,8.44893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
113,1,scan_v17_seg_2,8.44893718435447,-8.054578429580262,1.0,0.0,
114,2,scan_v17_seg_3,8.44893718435447,-7.054578429580262,1.0,0.7748793472338491,1.2905234906179688
115,3,scan_v17_seg_4,8.44893718435447,-6.054578429580262,1.0,1.0,0.0
116,4,scan_v17_seg_5,8.44893718435447,-5.054578429580262,1.0,1.0,0.0
117,5,scan_v17_seg_6,8.44893718435447,-4.054578429580262,1.0,1.0,1.0
118,6,scan_v17_seg_7,8.44893718435447,-3.0545784295802623,1.0,1.0,1.0
119,0,scan_v18_seg_1,8.94893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
120,1,scan_v18_seg_2,8.94893718435447,-8.054578429580262,1.0,0.0,
121,2,scan_v18_seg_3,8.94893718435447,-7.054578429580262,1.0,0.7546162077480529,0.0
122,3,scan_v18_seg_4,8.94893718435447,-6.054578429580262,1.0,1.0,0.0
123,4,scan_v18_seg_5,8.94893718435447,-5.054578429580262,1.0,1.0,0.0
124,5,scan_v18_seg_6,8.94893718435447,-4.054578429580262,1.0,1.0,1.0
125,6,scan_v18_seg_7,8.94893718435447,-3.0545784295802623,1.0,1.0,0.0
126,0,scan_v19_seg_1,9.44893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
127,1,scan_v19_seg_2,9.44893718435447,-8.054578429580262,1.0,0.0,
128,2,scan_v19_seg_3,9.44893718435447,-7.054578429580262,1.0,0.9604129130688426,0.0
129,3,scan_v19_seg_4,9.44893718435447,-6.054578429580262,1.0,1.0,0.0
130,4,scan_v19_seg_5,9.44893718435447,-5.054578429580262,1.0,1.0,0.0
131,5,scan_v19_seg_6,9.44893718435447,-4.054578429580262,1.0,1.0,0.0
132,6,scan_v19_seg_7,9.44893718435447,-3.0545784295802623,1.0,1.0,0.0
133,0,scan_v20_seg_1,9.94893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
134,1,scan_v20_seg_2,9.94893718435447,-8.054578429580262,1.0,0.0,
135,2,scan_v20_seg_3,9.94893718435447,-7.054578429580262,1.0,0.7073723510604024,0.0
136,3,scan_v20_seg_4,9.94893718435447,-6.054578429580262,1.0,1.0,0.0
137,4,scan_v20_seg_5,9.94893718435447,-5.054578429580262,1.0,1.0,0.0
138,5,scan_v20_seg_6,9.94893718435447,-4.054578429580262,1.0,1.0,0.0
139,6,scan_v20_seg_7,9.94893718435447,-3.0545784295802623,1.0,1.0,1.0
140,0,scan_v21_seg_1,10.44893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
141,1,scan_v21_seg_2,10.44893718435447,-8.054578429580262,1.0,0.0,
142,2,scan_v21_seg_3,10.44893718435447,-7.054578429580262,1.0,0.5897576077134712,0.0
143,3,scan_v21_seg_4,10.44893718435447,-6.054578429580262,1.0,1.0,0.0
144,4,scan_v21_seg_5,10.44893718435447,-5.054578429580262,1.0,1.0,0.0
145,5,scan_v21_seg_6,10.44893718435447,-4.054578429580262,1.0,1.0,0.0
146,6,scan_v21_seg_7,10.44893718435447,-3.0545784295802623,1.0,1.0,0.0
147,0,scan_v22_seg_1,10.94893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
148,1,scan_v22_seg_2,10.94893718435447,-8.054578429580262,1.0,0.0,
149,2,scan_v22_seg_3,10.94893718435447,-7.054578429580262,1.0,0.5151999294432406,0.0
150,3,scan_v22_seg_4,10.94893718435447,-6.054578429580262,1.0,1.0,0.0
151,4,scan_v22_seg_5,10.94893718435447,-5.054578429580262,1.0,1.0,0.0
152,5,scan_v22_seg_6,10.94893718435447,-4.054578429580262,1.0,1.0,3.0
153,6,scan_v22_seg_7,10.94893718435447,-3.0545784295802623,1.0,1.0,0.0
154,0,scan_v23_seg_1,11.44893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
155,1,scan_v23_seg_2,11.44893718435447,-8.054578429580262,1.0,0.0,
156,2,scan_v23_seg_3,11.44893718435447,-7.054578429580262,1.0,0.6273090628256535,0.0
157,3,scan_v23_seg_4,11.44893718435447,-6.054578429580262,1.0,1.0,0.0
158,4,scan_v23_seg_5,11.44893718435447,-5.054578429580262,1.0,1.0,0.0
159,5,scan_v23_seg_6,11.44893718435447,-4.054578429580262,1.0,1.0,0.0
160,6,scan_v23_seg_7,11.44893718435447,-3.0545784295802623,1.0,1.0,0.0
161,0,scan_v24_seg_1,11.94893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
162,1,scan_v24_seg_2,11.94893718435447,-8.054578429580262,1.0,0.0,
163,2,scan_v24_seg_3,11.94893718435447,-7.054578429580262,1.0,0.5982900277844596,0.0
164,3,scan_v24_seg_4,11.94893718435447,-6.054578429580262,1.0,1.0,0.0
165,4,scan_v24_seg_5,11.94893718435447,-5.054578429580262,1.0,1.0,0.0
166,5,scan_v24_seg_6,11.94893718435447,-4.054578429580262,1.0,1.0,0.0
167,6,scan_v24_seg_7,11.94893718435447,-3.0545784295802623,1.0,1.0,0.0
